# FPS: 240.0
Frame,Time(s),DisplacementX(px),DisplacementZ(px)
319,1.3291667,-0.1308899,2.2291718
320,1.3333334,0.29699707,3.629486
321,1.3375,0.28637695,3.6318512
322,1.3416667,-0.29452515,2.4900055
323,1.3458333,-0.0126953125,0.67022705
324,1.35,0.27542114,-1.0004578
325,1.3541666,0.20840454,-2.1879578
326,1.3583333,0.23291016,-2.756012
327,1.3625,0.09500122,-2.8368835
328,1.3666667,0.37838745,-2.299286
329,1.3708333,-0.24087524,-1.2723083
330,1.375,-0.29071045,0.41903687
331,1.3791667,-0.1770935,2.3205872
332,1.3833333,0.12704468,3.6158447
333,1.3875,0.053985596,3.5983734
334,1.3916667,-0.0625,0.52911377
335,1.3958334,0.035736084,0.5265198
336,1.4,0.32873535,-0.95695496
337,1.4041667,0.21655273,-2.2340698
338,1.4083333,0.18334961,-2.66333
339,1.4125,0.2333374,-2.7043304
340,1.4166666,0.41207886,-2.3339386
341,1.4208333,0.03036499,-1.3443604
342,1.425,-0.04119873,0.3929596
343,1.4291667,-0.084198,2.2818298
344,1.4333333,0.15570068,3.478775
345,1.4375,0.0038757324,3.525772
346,1.4416667,-0.23709106,2.4114838
347,1.4458333,-0.12503052,0.60272217
348,1.45,0.07235718,-2.302887
349,1.4541667,0.14169312,-2.277359
350,1.4583334,-0.10861206,-2.6809845
351,1.4625,-0.033843994,-2.7155457
352,1.4666667,0.29821777,-2.3521423
353,1.4708333,0.012939453,-1.291275
354,1.475,0.16299438,0.42373657
355,1.4791666,-0.23059082,2.361557
356,1.4833333,0.073913574,3.4796143
357,1.4875,-0.15585327,3.4510956
358,1.4916667,-0.09197998,2.315033
359,1.4958333,0.026916504,0.4999237
360,1.5,0.26531982,-1.1638489
361,1.5041667,0.2795105,-2.1968994
362,1.5083333,0.51223755,-2.581726
363,1.5125,0.16308594,-2.2000885
364,1.5166667,0.42382812,-2.2167206
365,1.5208334,-0.020629883,0.53912354
366,1.525,0.042938232,0.54203796
367,1.5291667,-0.076690674,2.4724884
368,1.5333333,0.43707275,3.6289673
369,1.5375,0.2423706,3.4643097
370,1.5416666,0.5058594,2.1795197
371,1.5458333,0.55636597,0.39634705
372,1.55,0.5433655,-1.2016449
373,1.5541667,0.54525757,-2.3295898
